"Unit","Time","PC","Value"
1,0,"PC1",0
1,0,"PC2",0
1,0,"PC3",0
1,1,"PC1",5
1,1,"PC2",3
1,1,"PC3",2
1,2,"PC1",10
1,2,"PC2",7
1,2,"PC3",6
1,3,"PC1",15
1,3,"PC2",10
1,3,"PC3",9
1,4,"PC1",22
1,4,"PC2",16
1,4,"PC3",13
1,5,"PC1",29
1,5,"PC2",21
1,5,"PC3",16
1,6,"PC1",37
1,6,"PC2",27
1,6,"PC3",20
1,7,"PC1",45
1,7,"PC2",33
1,7,"PC3",26
1,8,"PC1",58
1,8,"PC2",40
1,8,"PC3",31
1,9,"PC1",74
1,9,"PC2",49
1,9,"PC3",37
2,0,"PC1",0
2,0,"PC2",0
2,0,"PC3",0
2,1,"PC1",4
2,1,"PC2",2
2,1,"PC3",2
2,2,"PC1",8
2,2,"PC2",7
2,2,"PC3",5
2,3,"PC1",13
2,3,"PC2",11
2,3,"PC3",7
2,4,"PC1",18
2,4,"PC2",15
2,4,"PC3",10
2,5,"PC1",24
2,5,"PC2",19
2,5,"PC3",13
2,6,"PC1",31
2,6,"PC2",25
2,6,"PC3",17
2,7,"PC1",38
2,7,"PC2",31
2,7,"PC3",20
2,8,"PC1",47
2,8,"PC2",38
2,8,"PC3",26
2,9,"PC1",57
2,9,"PC2",46
2,9,"PC3",32
3,0,"PC1",0
3,0,"PC2",0
3,0,"PC3",0
3,1,"PC1",4
3,1,"PC2",2
3,1,"PC3",3
3,2,"PC1",8
3,2,"PC2",6
3,2,"PC3",6
3,3,"PC1",13
3,3,"PC2",10
3,3,"PC3",7
3,4,"PC1",18
3,4,"PC2",14
3,4,"PC3",10
3,5,"PC1",23
3,5,"PC2",18
3,5,"PC3",15
3,6,"PC1",29
3,6,"PC2",23
3,6,"PC3",18
3,7,"PC1",36
3,7,"PC2",29
3,7,"PC3",21
3,8,"PC1",45
3,8,"PC2",36
3,8,"PC3",26
3,9,"PC1",56
3,9,"PC2",44
3,9,"PC3",30
4,0,"PC1",0
4,0,"PC2",0
4,0,"PC3",0
4,1,"PC1",4
4,1,"PC2",3
4,1,"PC3",2
4,2,"PC1",8
4,2,"PC2",6
4,2,"PC3",4
4,3,"PC1",13
4,3,"PC2",10
4,3,"PC3",7
4,4,"PC1",17
4,4,"PC2",14
4,4,"PC3",11
4,5,"PC1",22
4,5,"PC2",18
4,5,"PC3",14
4,6,"PC1",29
4,6,"PC2",23
4,6,"PC3",17
4,7,"PC1",35
4,7,"PC2",28
4,7,"PC3",19
4,8,"PC1",44
4,8,"PC2",34
4,8,"PC3",24
4,9,"PC1",53
4,9,"PC2",41
4,9,"PC3",29
5,0,"PC1",0
5,0,"PC2",0
5,0,"PC3",0
5,1,"PC1",4
5,1,"PC2",2
5,1,"PC3",2
5,2,"PC1",8
5,2,"PC2",7
5,2,"PC3",4
5,3,"PC1",13
5,3,"PC2",9
5,3,"PC3",7
5,4,"PC1",17
5,4,"PC2",13
5,4,"PC3",9
5,5,"PC1",22
5,5,"PC2",16
5,5,"PC3",12
5,6,"PC1",28
5,6,"PC2",20
5,6,"PC3",15
5,7,"PC1",33
5,7,"PC2",24
5,7,"PC3",18
5,8,"PC1",43
5,8,"PC2",30
5,8,"PC3",22
5,9,"PC1",51
5,9,"PC2",36
5,9,"PC3",26
6,0,"PC1",0
6,0,"PC2",0
6,0,"PC3",0
6,1,"PC1",4
6,1,"PC2",3
6,1,"PC3",2
6,2,"PC1",8
6,2,"PC2",6
6,2,"PC3",4
6,3,"PC1",12
6,3,"PC2",10
6,3,"PC3",7
6,4,"PC1",17
6,4,"PC2",13
6,4,"PC3",9
6,5,"PC1",21
6,5,"PC2",17
6,5,"PC3",12
6,6,"PC1",27
6,6,"PC2",22
6,6,"PC3",14
6,7,"PC1",33
6,7,"PC2",26
6,7,"PC3",17
6,8,"PC1",42
6,8,"PC2",30
6,8,"PC3",21
6,9,"PC1",51
6,9,"PC2",36
6,9,"PC3",24
